X,Y,Name,affiliation,awe_walk(y/n),initial_interview,mode,location,history(y/n),frequency,morphology1,morphology2,phenomenology1,phenomenology2,binary_threshold,binary_surprise,binary_sanctuary,binary_other,description
-71.0807,42.35489,A Familiar Cherry Tree,gardener,n,n,walk,park,n,timeless,nature,plant,wonder,familiar,n,n,n,y,"""familiarity of cherry tree that she uses as marker for walking loops around the Esplanade; the moss on the tree is mysterious and inviting"""
-71.0791,42.37255,A Newly Discovered Mural,gardener,n,n,walk,street,n,timeless,visual_design,art/object,beauty,novel,n,y,n,n,"""noticing something new: https://www.flickr.com/photos/runjanefox/27458264880
""We Speak for Those Who Can't Mural"""""
-71.1418,42.373,A Stranger Speaks of Spring,gardener,y,n,walk,park,n,periodic,moral_beauty,people,interconnection,inclusive,n,y,n,y,"""interconnection - pleasant to run into man in the park in the snow with his dog:
the man said ""it almost feels like spring, the sun feels warmer. this has been one of the most punishing winters in some time"""
-71.1196,42.38874,A View to Boston from Porter Square,CRA,y,n,walk,street,n,timeless,nature,vista,wonder,expansive,n,n,n,n,"""beauty of seeing all the way to Boston from Cambridge; feeling of being in Boston area but not being in Boston itself"""
-71.1209,42.37299,"A warm, late winter day at Harvard Square",gardener,n,n,walk,plaza,n,seasonal,collective_effervescence,people,interconnection,novel,n,n,n,n,"""collective effervescence - Tuesday evening in Harvard sq, seeing so many people outside interacting and feeling like city was full of life"""
-71.1296,42.38981,Abandoned land covered in clover,gardener,n,y,walk,park,n,seasonal,nature,plant,wonder,wild,n,y,n,n,"""wonder; strangeness of land covered in clover"""
-71.137,42.37854,Accessible Beauty,gardener,n,y,walk,street,n,seasonal,nature,green space,beauty,curated,n,n,n,n,"""appreciation for the beauty of the garden; appreciation for the people who did hide this garden from view - seeing this as a contribution to the community"""
-71.1167,42.37187,Adams House Gate,personal,y,n/a,walk,street,n,timeless,visual_design,art/object,beauty,ornate,n,n,n,n,gorgeous gate
-71.1082,42.363,Amigos Elementary School,gardener,n,y,walk,educational,n,daily,collective_effervescence,communities,interconnection,inclusive,n,n,n,n,"""interconnection; preschool community provides a sense of connection and welcomed cultural experience since its a spanish immersion school"""
-71.10913,42.36109,"Animals that begin with ""Ra""",gardener,n,y,walk,street,n,periodic,nature,animal,wonder,wild,n,y,n,y,"wonder; saw three animals whose names all begin with RA; raccoon, rat, rabbit; felt a sense of amusement"
-71.1274,42.37472,Apple Tree,gardener,n,y,walk,park,n,timeless,nature,plant,wonder,wild,n,n,n,y,"""wonder"""
